segment_id,start,end,transcript,asr_confidence
141,774.29,776.12,"Oh, OK. We're a bit behind.",0.503
142,776.1,779.76,Do you know what I mean?,0.617
143,779.82,786.18,"One way of looking at it would be, well, the people producing television sets, maybe they have to buy remote controls.",0.7209
144,786.61,793.65,"Or another way is maybe people who have TV sets are really fed up with their remote control, and they really want a better one or something.",0.7843
145,794.51,800.94,My parents went and bought remote controls because they got fed up of having four or five different remote controls for each house.,0.5857
146,800.96,804.38,"So for them it was just, how many devices is a control?",0.5252
147,804.45,810.4,"Right, so in function one of the priorities might be to combine as many uses.",0.7356
148,811.6,814.59,"Right, so do you think that should be like a main design aim of remote control?",0.7816
149,814.69,815.47,I think so.,0.7043
150,816.05,819.74,Your satellite and your regular telly and your VCR and everything.,0.7193
151,819.87,827.75,Like maybe what we could use as a sort of like an example of a successful other piece of technology is Palm Pilots.,0.7782
152,828.31,834.89,"They're going from being just like little sort of scribble boards to cameras, MP3 players, telephones.",0.8513
153,834.87,842.4,"everything, agenda, so I wonder if we might add something new to the remote control market, such as the lighting in your house.",0.8523
154,842.62,851.29,"Or even new notes about what you want to watch, like you might put in there, oh, I want to watch such and such, and that's a good idea.",0.6733
155,851.61,853.79,So extra functionalities.,0.697
156,854.15,862.6,"Personally, for me, at home, I've combined the audio, video of my television set and my DVD player and my CD player",0.8535
157,862.58,866.95,"So they all work, actually function together, but I have different remote controls for each of them.",0.7462
158,866.97,876.16,"So it's sort of ironic that in their sound and everything, it's just one system.",0.7087
159,876.5,879.31,But each one's got its own little part.,0.8822
160,882.58,885.16,Okay.,0.528
161,886.14,890.11,I'm going to have to wrap up pretty quickly in the next couple of minutes.,0.7974
162,890.17,891.31,I'll just check if nothing else.,0.8498
163,892.01,892.27,Okay.,0.578
164,893.81,898.28,So anything else anybody wants to add about what they don't like about remote controls they've used?,0.801
165,898.3,902.56,What they would really like to be part of this new one at all?,0.8355
166,904.69,905.57,You keep losing them.,0.8885
167,905.77,906.29,Okay.,0.711
168,906.39,922.57,You get those ones where you can if you like whistle or make a really high-pitched noise they beep yeah there I mean is that something we'd want to include do you think,0.7182
169,924.29,952.85,I remember when the first remote control my my family had was on a cable actually the cable between in the TV and big like buttons that sort of like like on a blender or something my goodness and you know and I think about what they are now it's better but actually it's still kind of I don't know like a massive junky thing on the table still we could think about how could be more you know streamlined maybe like a touchscreen or something,0.7789
170,953.05,954.29,"Something like that, yeah.",0.676
171,954.31,956.33,Or whatever would be technologically reasonable.,0.674
172,957.69,969.15,"Because it could be that functionally that doesn't make it any better, but that just the appeal of not having, you know, these days things in people's homes are becoming more and more, like, chic, you know?",0.8077
173,970.43,973.0,"Nicer materials, and might be.",0.8316
174,975.2,985.04,"So just to wrap up, the next meeting is going to be in 30 minutes, so that's about 10 to 12 by my watch.",0.7296
175,986.25,996.49,"So in between now and then, as the industrial designer, you're going to be working on the actual working design of it, so you know what you're doing there.",0.7313
176,996.47,1004.22,"For user interface, technical functions, I guess that's what we've been talking about, what it'll actually do.",0.8671
177,1005.26,1015.83,"And marketing executive, you'll be just thinking about what requirements it has to fulfill.",0.8566
178,1016.61,1022.54,"And you'll get instructions emailed to you, I guess.",0.8016
179,1026.17,1031.42,"Yeah, so it's the functional design stage is next, I guess.",0.7311
180,1034.66,1037.69,And that's the end of the meeting.,0.7601
181,1039.61,1042.64,I got that little message a lot sooner than I thought I would.,0.7432
182,1047.12,1059.21,"Before we wrap up, just to make sure we're all on the same page here, we were given sort of an example of a coffee machine or something, right?",0.7192
183,1060.98,1066.84,Are we right now on the assumption that our television remote control may have features which go beyond the television?,0.8313
184,1067.8,1073.21,Or are we keeping sort of like a design commitment to television features?,0.8262
185,1073.69,1077.18,"Okay, well just very quickly because we're supposed to finish now.",0.6989
186,1077.16,1079.0,I guess that's up to us.,0.7628
187,1079.16,1082.09,"I mean, you probably want some kind of unique selling point of it.",0.7786
188,1082.11,1087.15,I think one factor would be production cost.,0.5564
189,1087.17,1089.07,There's a cap there.,0.8228
190,1089.09,1093.22,It depends on how much you can cram into that price.,0.7878
191,1096.2,1099.48,I think that's the main factor.,0.4522
192,1099.5,1100.28,"Right, okay.",0.444
193,1100.3,1106.43,"Well, that's the end of the meeting then.",0.6298
194,1106.41,1107.41,Thank you all for coming.,0.8106
195,1111.14,1115.73,"God, I hope that was what they wanted us to do, wasn't it?",0.7078
196,1118.43,1118.8,Right.,0.764
197,1148.59,1151.87,Uh-huh.,0.5
198,1151.89,1154.44,"Oh, there it is.",0.6525
199,1154.46,1155.32,Thank goodness.,0.359
200,1155.4,1157.17,OK. All right.,0.331
