segment_id,start,end,transcript,asr_confidence
102,511.6,516.63,"Suppose they're also independent, I put that one down again.",0.8377
103,517.89,521.24,They're good at golf.,0.5655
104,521.48,522.8,"Independent, right?",0.8735
105,523.24,524.26,Did you say they're good at golf?,0.6334
106,524.32,524.62,Yeah.,0.28
107,524.99,525.71,Are they?,0.731
108,525.73,526.45,Eagle.,0.526
109,526.47,527.97,"Oh, right, okay.",0.5253
110,527.99,528.85,I'm not good at golf.,0.7494
111,529.27,536.71,"I'll say they're quite free spirited, flying around everywhere, doing their own thing.",0.8031
112,541.43,544.86,"And birds of prey, aren't they?",0.8352
113,545.04,545.38,Oh dear.,0.8235
114,546.18,546.82,Intrepid.,0.922
115,548.02,548.69,Intrepid.,0.883
116,553.7,554.24,There we go.,0.9433
117,554.26,561.35,I hope that pen is going to be OK. Whoops.,0.7331
118,561.37,561.65,OK.,0.858
119,563.07,564.39,That was fine.,0.4983
120,564.41,564.61,Right.,0.88
121,566.21,573.6,"Finance wise, we've got a selling price at 25 euros, which I don't actually know what that is in pounds at all.",0.8467
122,574.75,575.25,Any ideas?,0.9205
123,575.29,576.97,17.,0.802
124,576.99,577.25,Yeah.,0.643
125,577.27,582.92,1.4 euro would make a bond or something like that.,0.6422
126,584.06,585.54,"Yeah, yeah, something like that.",0.3668
127,585.56,586.14,"Yeah, about 17 pounds.",0.3035
128,586.52,588.13,OK. That's expensive.,0.47
129,588.39,589.58,Should we be making notes of this?,0.8586
130,589.62,591.08,"We can just refer to this later, can't we?",0.4746
131,591.1,591.64,I think so.,0.9417
132,591.66,592.26,I think so.,0.565
133,592.28,595.23,I'd be able to pull it up or put it in the shared folder.,0.5139
134,595.33,602.0,"Having said that though, if you want to get one of those, the ones on the market at the moment, they're about 20 pounds anyway.",0.758
135,603.45,604.27,Right.,0.465
136,604.65,607.53,"Yeah, we have to buy one.",0.652
137,608.05,613.98,"So I suppose later it depends if we want to undercut the price, or is it going to make our product look a cheapy cheapy option?",0.7853
138,614.66,623.45,"Yeah, production costs at 12.50, so half of the selling price is taken out by building it.",0.8472
139,624.57,629.38,"And profit aim is 50 million euros, which is...",0.7904
140,630.5,631.2,In our first year?,0.922
141,631.38,632.12,Yes.,0.955
142,633.32,637.18,"Yeah, I presume so.",0.7745
143,638.04,644.98,"You've got Market Range International, and you did say earlier it's got to be accessible and usable by all age groups.",0.8681
144,646.24,649.07,"We're not focusing on business market, any particular thing.",0.8227
145,649.09,653.06,"It's everyone, user-friendly to everyone.",0.7294
146,653.04,654.52,Big target group.,0.7057
147,654.54,654.75,Yes.,0.642
148,655.21,655.75,Yes.,0.861
149,655.77,678.14,I don't think we have to I don't think it's a case of worrying about different languages and things like that Making that key point just that it's going to be an international market like Australia America things like that Okay What,0.8325
150,678.93,687.98,"I mean, we had three videos, a TV and a sort of amp thing all set up.",0.8099
151,688.46,694.15,So we got one of the universal remote controls that you program each of your things into.,0.7759
152,694.85,699.39,"But that kept losing the signals, so we'd have to reprogram it every now and again.",0.8204
153,699.48,700.88,I think it was quite cheapy as well.,0.7737
154,701.34,702.76,So that might have had something to do with it.,0.7866
155,702.78,704.8,"But that was quite good, the fact that you could",0.6001
156,705.19,707.99,used all the ones you didn't have six remote controls.,0.6657
157,709.21,710.91,You want to integrate everything into one.,0.7291
158,712.98,727.65,"My experience has only been given the remote control with the object I buy, not doing any tampering with it and programming, using it to program TV videos and things, but basically on-off volume up and down, channel one to that basic function.",0.8451
159,727.84,729.56,I don't think I could go any further with it.,0.894
160,729.54,734.98,"than that, so I suppose it's got to be something usable by someone like me as well.",0.7831
161,735.1,737.26,"Yeah, that's the main stuff anyway.",0.8338
162,737.38,751.34,"I mean, and you don't want to, I hate looking at a control and seeing a million tiny little buttons with tiny little words saying what they all do and just sitting there searching for the text button or something like that.",0.7777
163,751.36,757.38,"And symbols that you don't necessarily understand, symbols you're meant to understand that you don't.",0.6121
164,757.36,779.78,when you've got the main things on the front of it and a section opens up or something to the other functions when you can do sound or options kind of recording things like that inside it because it doesn't make when you pick it up it doesn't make it really complicated to look at it's obvious what you're doing,0.8392
165,779.76,781.1,"Actually, that just raises a point.",0.7762
166,781.12,782.78,I wonder what our design people think.,0.7157
167,783.3,787.19,"But you know on a mobile phone, you can press a key and it gives you a menu.",0.8129
168,787.21,788.25,It's got a menu display.,0.4108
169,788.29,792.56,I wonder if incorporating that into the design of a remote control might be useful.,0.8371
170,792.58,794.53,So you've got a little LCD display.,0.7757
171,794.95,800.28,"I was thinking on the same lines, you instead of having too many buttons and make it complicated for the user.",0.835
172,800.26,803.48,"Maybe have an LCD display or something like that, like a mobile.",0.52
173,803.84,805.87,With menus.,0.774
174,806.13,810.95,"And if it's somewhat similar to what you have on mobile phone, people might find it easier to browse and navigate also.",0.7711
175,811.21,811.49,Yeah.,0.609
176,812.39,813.73,What about the older generation?,0.7366
177,813.75,814.96,What about Granny and Granddad's?,0.5824
178,816.78,823.2,"My Granddad can answer his mobile phone, but he couldn't even dream of texting or something like that.",0.6492
179,823.88,825.83,Can he program his remote controller?,0.8455
180,825.87,827.57,Is he basic with that too?,0.7665
181,828.09,830.39,I don't think they tape things.,0.6613
182,830.45,833.08,My grandad is actually better than me at using teletext.,0.5056
183,834.7,838.7,So that's a problem regardless of any design modifications you come up with.,0.8867
184,839.34,844.71,That's going to be a problem anyway with the older generation perhaps and that's another issue how we tackle that.,0.764
185,844.73,849.96,Well it just needs to be as long as it's sort of self-intuitive and you can work out,0.5658
186,850.95,851.98,why everything's doing.,0.829
187,852.2,862.16,"Because I mean, menus on phones now, they've got all these pictures and stuff, which makes it fairly obvious what you're trying to do.",0.6913
188,862.31,865.5,I don't know how.,0.793
189,866.4,871.68,I don't like the new phones that kind of got a windows-based running system.,0.8507
190,873.01,874.53,I find it really confusing.,0.8608
191,874.85,877.23,I kept getting lost in the phone.,0.7834
192,877.25,879.48,"I have not got a new one, but my friend got a new one.",0.7351
193,879.96,884.28,"I was trying to do things with it, and I just kept getting lost.",0.7611
194,884.26,885.11,That's just me.,0.8827
195,885.99,893.69,I don't know how for 25 or 12 euros 50 how much of an excellent screen you could get.,0.7551
196,893.75,898.5,You'd have to sort of keep it down to a black and white LCD thing.,0.7067
197,898.78,904.79,Is it possible that for the older generation you could have like an extra button that you press for large print like you do in large print books?,0.8408
198,905.71,907.51,Obviously it displays less on the screen.,0.7811
199,908.35,911.77,It displays less on the screen but as long as they can read it that's the main thing.,0.9112
200,911.86,912.28,Yeah.,0.514
201,914.26,923.63,"What about kind of a dual function in that you've got the basic buttons just for your play, volume, program, things.",0.8545
202,924.41,935.13,"And also, and then a menu to go into with obvious pictures, obvious symbols, and that's where you control recording and things like that.",0.8556
203,935.11,947.41,"The other thing is, just tacking into mobile phone design features again, you could have a flip top remote control so that when you flip over the top, you can have a bigger screen in the flip over.",0.8402
204,948.44,949.64,I think that's a cost thing.,0.7037
205,949.96,952.75,I don't know how much we're going to know about.,0.4666
206,952.77,954.51,It might save a bit of space.,0.4981
207,954.89,957.24,"Instead of looking bulky, it might look small.",0.5075
208,957.6,959.26,But it might have its cost implications.,0.6514
209,959.76,963.77,And there's no reason we need to make it look as fashionable and stylish as a mobile phone.,0.7592
210,963.79,969.12,"It can still be lightweight plastic, something that's easily molded and produced.",0.7854
211,969.1,973.31,Sorry I'm trading on your territory guys.,0.7744
212,973.77,980.05,"Right, okay we've got half an hour before the next meeting so we're all going to go off and do our individual things.",0.6856
213,981.21,989.53,I think that's probably about it and then we'll come back in days again and I get to do another fantastic presentation.,0.7868
214,989.83,996.68,"Just a quick thing about the, what you're saying about the, it doesn't need to be fashionable.",0.8566
215,997.38,1001.63,So I had a quick look at the company website and it's like the,0.7781
216,1001.61,1005.0,we put the fashion into electronics.,0.8162
217,1005.58,1014.22,"So I think the whole design thing might be quite, I mean you can still have plastic and it'd look quite good.",0.7573
218,1015.14,1024.73,"I mean it doesn't have to be, that was my main point, we do have to use metal, I don't know if using plastic does make it cheaper, I presume it would.",0.6357
219,1024.71,1026.92,I mean the sky remote controls and everything.,0.6831
220,1026.94,1030.96,They're kind of molded and look a bit different than the tele-west remote controls.,0.7713
221,1031.04,1034.73,So silver plastic which looks a bit smarter.,0.7611
222,1035.19,1037.73,"So yeah, I guess that's it.",0.5912
223,1037.75,1038.84,Okay.,0.358
224,1038.86,1039.14,Okay.,0.674
225,1039.76,1041.58,So let's break it up there.,0.7188
226,1042.62,1043.0,Okay.,0.283
227,1043.26,1044.2,So see you in half an hour.,0.6389
228,1046.47,1048.17,Do we go back to our room?,0.7954
229,1048.77,1049.17,Yeah.,0.49
