clip_id,actor,emotion_code,emotion_4class,p_happy,p_angry,p_sad,p_neutral
02_08_01_01_01,2,8,neutral,0.197747,0.27546,0.197097,0.329695
02_08_01_01_02,2,8,neutral,0.217071,0.282713,0.306861,0.193354
02_08_01_02_01,2,8,neutral,0.220305,0.257081,0.331051,0.191564
02_08_01_02_02,2,8,neutral,0.210514,0.265871,0.347573,0.176042
02_08_02_01_01,2,8,neutral,0.217483,0.291815,0.327736,0.162967
02_08_02_01_02,2,8,neutral,0.206173,0.293792,0.251713,0.248322
02_08_02_02_01,2,8,neutral,0.218299,0.279841,0.312155,0.189705
02_08_02_02_02,2,8,neutral,0.212012,0.287548,0.337989,0.16245
03_01_01_01_01,3,1,neutral,0.176039,0.215177,0.19652,0.412265
03_01_01_01_02,3,1,neutral,0.178981,0.210591,0.20949,0.400938
03_01_01_02_01,3,1,neutral,0.169569,0.230513,0.198946,0.400971
03_01_01_02_02,3,1,neutral,0.167532,0.23676,0.204439,0.39127
03_02_01_01_01,3,2,neutral,0.173814,0.242395,0.18948,0.394311
03_02_01_01_02,3,2,neutral,0.178543,0.244926,0.199605,0.376926
03_02_01_02_01,3,2,neutral,0.41304,0.251112,0.158442,0.177406
03_02_01_02_02,3,2,neutral,0.270756,0.290679,0.180985,0.25758
03_02_02_01_01,3,2,neutral,0.233072,0.306249,0.193057,0.267621
03_02_02_01_02,3,2,neutral,0.242303,0.302238,0.233887,0.221571
03_02_02_02_01,3,2,neutral,0.284317,0.293056,0.214118,0.208509
03_02_02_02_02,3,2,neutral,0.236908,0.290186,0.21486,0.258046
03_03_01_01_01,3,3,happy,0.574705,0.235997,0.102775,0.086523
03_03_01_01_02,3,3,happy,0.550034,0.247698,0.111276,0.090992
03_03_01_02_01,3,3,happy,0.563984,0.235419,0.109621,0.090976
03_03_01_02_02,3,3,happy,0.501392,0.263978,0.123879,0.110751
03_03_02_01_01,3,3,happy,0.514431,0.233114,0.150037,0.102419
03_03_02_01_02,3,3,happy,0.438649,0.281038,0.170213,0.1101
03_03_02_02_01,3,3,happy,0.502958,0.246293,0.161168,0.089581
03_03_02_02_02,3,3,happy,0.594751,0.217976,0.10428,0.082993
03_04_01_01_01,3,4,sad,0.127472,0.383652,0.332655,0.156221
03_04_01_01_02,3,4,sad,0.134829,0.362904,0.295387,0.20688
03_04_01_02_01,3,4,sad,0.154299,0.293717,0.259704,0.29228
03_04_01_02_02,3,4,sad,0.1449,0.32477,0.279203,0.251127
03_04_02_01_01,3,4,sad,0.274821,0.343602,0.29582,0.085757
03_04_02_01_02,3,4,sad,0.221584,0.343921,0.333948,0.100547
03_04_02_02_01,3,4,sad,0.183553,0.332307,0.381092,0.103048
03_04_02_02_02,3,4,sad,0.270754,0.344242,0.308848,0.076156
03_05_01_01_01,3,5,angry,0.17688,0.243589,0.20353,0.376
03_05_01_01_02,3,5,angry,0.176604,0.269935,0.213812,0.339649
03_05_01_02_01,3,5,angry,0.175525,0.232661,0.199268,0.392545
03_05_01_02_02,3,5,angry,0.182227,0.24212,0.206882,0.368772
03_05_02_01_01,3,5,angry,0.187833,0.317998,0.231497,0.262672
03_05_02_01_02,3,5,angry,0.177423,0.331,0.231627,0.25995
03_05_02_02_01,3,5,angry,0.202411,0.292699,0.22045,0.284439
03_05_02_02_02,3,5,angry,0.237907,0.31952,0.204451,0.238123
03_06_01_01_01,3,6,neutral,0.183125,0.221306,0.18896,0.406609
03_06_01_01_02,3,6,neutral,0.187895,0.245683,0.204495,0.361927
03_06_01_02_01,3,6,neutral,0.187138,0.259687,0.185003,0.368171
03_06_01_02_02,3,6,neutral,0.18835,0.233929,0.18532,0.392401
03_06_02_01_01,3,6,neutral,0.190181,0.336063,0.29267,0.181085
03_06_02_01_02,3,6,neutral,0.191966,0.354637,0.337797,0.1156
03_06_02_02_01,3,6,neutral,0.185243,0.284921,0.275107,0.254729
03_06_02_02_02,3,6,neutral,0.176712,0.395201,0.279067,0.149019
03_07_01_01_01,3,7,neutral,0.180632,0.452948,0.284475,0.081945
03_07_01_01_02,3,7,neutral,0.183191,0.332622,0.376974,0.107213
03_07_01_02_01,3,7,neutral,0.15837,0.428026,0.3245,0.089103
03_07_01_02_02,3,7,neutral,0.21505,0.4329,0.263711,0.088339
03_07_02_01_01,3,7,neutral,0.168097,0.327598,0.369063,0.135242
03_07_02_01_02,3,7,neutral,0.145566,0.419615,0.361133,0.073686
03_07_02_02_01,3,7,neutral,0.144851,0.308841,0.463095,0.083213
03_07_02_02_02,3,7,neutral,0.224445,0.444249,0.254022,0.077284
03_08_01_01_01,3,8,neutral,0.201636,0.3148,0.223818,0.259745
03_08_01_01_02,3,8,neutral,0.328401,0.321296,0.181489,0.168814
03_08_01_02_01,3,8,neutral,0.176605,0.276452,0.212116,0.334828
03_08_01_02_02,3,8,neutral,0.265205,0.343724,0.209577,0.181494
03_08_02_01_01,3,8,neutral,0.195011,0.297514,0.198174,0.309301
03_08_02_01_02,3,8,neutral,0.199389,0.285488,0.187951,0.327172
03_08_02_02_01,3,8,neutral,0.236133,0.314972,0.190228,0.258667
03_08_02_02_02,3,8,neutral,0.178386,0.256362,0.187672,0.37758
04_01_01_01_01,4,1,neutral,0.171499,0.254768,0.384774,0.188959
04_01_01_01_02,4,1,neutral,0.171926,0.266002,0.360161,0.20191
04_01_01_02_01,4,1,neutral,0.171143,0.241979,0.374295,0.212583
04_01_01_02_02,4,1,neutral,0.168818,0.240375,0.397613,0.193193
04_02_01_01_01,4,2,neutral,0.326999,0.2955,0.237792,0.139709
04_02_01_01_02,4,2,neutral,0.360517,0.294592,0.210355,0.134535
04_02_01_02_01,4,2,neutral,0.268935,0.290885,0.287265,0.152915
04_02_01_02_02,4,2,neutral,0.265979,0.269835,0.316554,0.147632
04_02_02_01_01,4,2,neutral,0.197859,0.301126,0.336248,0.164767
04_02_02_01_02,4,2,neutral,0.38376,0.2739,0.216824,0.125516
04_02_02_02_01,4,2,neutral,0.380232,0.264944,0.229845,0.124979
04_02_02_02_02,4,2,neutral,0.303342,0.295342,0.277883,0.123432
04_03_01_01_01,4,3,happy,0.461972,0.267226,0.160433,0.11037
04_03_01_01_02,4,3,happy,0.547843,0.228371,0.137601,0.086186
04_03_01_02_01,4,3,happy,0.505217,0.241464,0.154487,0.098832
04_03_01_02_02,4,3,happy,0.585019,0.213003,0.121904,0.080074
04_03_02_01_01,4,3,happy,0.458621,0.258091,0.183206,0.100081
04_03_02_01_02,4,3,happy,0.374274,0.288725,0.210645,0.126356
04_03_02_02_01,4,3,happy,0.49239,0.253289,0.153608,0.100714
04_03_02_02_02,4,3,happy,0.534209,0.237477,0.141001,0.087313
04_04_01_01_01,4,4,sad,0.166569,0.280596,0.325146,0.227689
04_04_01_01_02,4,4,sad,0.138078,0.326813,0.373182,0.161927
04_04_01_02_01,4,4,sad,0.151075,0.296876,0.348289,0.20376
04_04_01_02_02,4,4,sad,0.167856,0.280925,0.322929,0.228291
04_04_02_01_01,4,4,sad,0.199823,0.335359,0.34851,0.116309
04_04_02_01_02,4,4,sad,0.171127,0.350209,0.36808,0.110583
04_04_02_02_01,4,4,sad,0.200447,0.329698,0.353689,0.116166
04_04_02_02_02,4,4,sad,0.214928,0.326245,0.349177,0.10965
04_05_01_01_01,4,5,angry,0.17616,0.287233,0.277947,0.25866
04_05_01_01_02,4,5,angry,0.167145,0.304154,0.31597,0.212731
04_05_01_02_01,4,5,angry,0.171898,0.290235,0.304348,0.23352
04_05_01_02_02,4,5,angry,0.16996,0.311479,0.298151,0.22041
04_05_02_01_01,4,5,angry,0.17115,0.323375,0.313482,0.191993
04_05_02_01_02,4,5,angry,0.173517,0.306891,0.304152,0.215441
04_05_02_02_01,4,5,angry,0.173657,0.332617,0.289481,0.204245
04_05_02_02_02,4,5,angry,0.160981,0.35115,0.289361,0.198508
04_06_01_01_01,4,6,neutral,0.161579,0.292071,0.348037,0.198313
04_06_01_01_02,4,6,neutral,0.158777,0.28277,0.373332,0.185121
04_06_01_02_01,4,6,neutral,0.146815,0.253945,0.454249,0.144991
04_06_01_02_02,4,6,neutral,0.153596,0.29255,0.371789,0.182065
04_06_02_01_01,4,6,neutral,0.128801,0.294954,0.454826,0.121419
04_06_02_01_02,4,6,neutral,0.167306,0.290194,0.363944,0.178557
04_06_02_02_01,4,6,neutral,0.135222,0.310796,0.42041,0.133573
04_06_02_02_02,4,6,neutral,0.13678,0.321578,0.41366,0.127983
04_07_01_01_01,4,7,neutral,0.146631,0.434493,0.306955,0.111921
04_07_01_01_02,4,7,neutral,0.159751,0.51081,0.234744,0.094695
04_07_01_02_01,4,7,neutral,0.165267,0.432211,0.286672,0.11585
04_07_01_02_02,4,7,neutral,0.264861,0.392522,0.236536,0.106081
04_07_02_01_01,4,7,neutral,0.114428,0.457215,0.325107,0.10325
04_07_02_01_02,4,7,neutral,0.124889,0.428523,0.333232,0.113355
04_07_02_02_01,4,7,neutral,0.145671,0.436633,0.289103,0.128593
04_07_02_02_02,4,7,neutral,0.190434,0.469696,0.242691,0.097179
04_08_01_01_01,4,8,neutral,0.166251,0.275436,0.364171,0.194141
04_08_01_01_02,4,8,neutral,0.174708,0.283331,0.306935,0.235026
04_08_01_02_01,4,8,neutral,0.170612,0.288079,0.331062,0.210247
04_08_01_02_02,4,8,neutral,0.167319,0.268808,0.379425,0.184448
04_08_02_01_01,4,8,neutral,0.176747,0.286014,0.350658,0.18658
04_08_02_01_02,4,8,neutral,0.163797,0.297356,0.364436,0.174411
04_08_02_02_01,4,8,neutral,0.182033,0.301959,0.375975,0.140033
04_08_02_02_02,4,8,neutral,0.167331,0.310405,0.37002,0.152245
05_01_01_01_01,5,1,neutral,0.176521,0.218091,0.270308,0.33508
05_01_01_01_02,5,1,neutral,0.17587,0.22052,0.345333,0.258277
05_01_01_02_01,5,1,neutral,0.175577,0.216913,0.261597,0.345913
05_01_01_02_02,5,1,neutral,0.174991,0.217087,0.27948,0.328442
05_02_01_01_01,5,2,neutral,0.304884,0.227706,0.212538,0.254872
05_02_01_01_02,5,2,neutral,0.328511,0.266717,0.201592,0.20318
05_02_01_02_01,5,2,neutral,0.286911,0.219808,0.228989,0.264292
05_02_01_02_02,5,2,neutral,0.352411,0.237191,0.185432,0.224966
05_02_02_01_01,5,2,neutral,0.44441,0.237415,0.171176,0.147
05_02_02_01_02,5,2,neutral,0.284615,0.273733,0.283777,0.157874
05_02_02_02_01,5,2,neutral,0.315481,0.230379,0.213981,0.240159
05_02_02_02_02,5,2,neutral,0.255509,0.248913,0.276732,0.218846
05_03_01_01_01,5,3,happy,0.376744,0.232762,0.284029,0.106465
05_03_01_01_02,5,3,happy,0.497918,0.23459,0.156889,0.110603
05_03_01_02_01,5,3,happy,0.471835,0.202869,0.233815,0.091481
05_03_01_02_02,5,3,happy,0.562903,0.212287,0.131771,0.093039
05_03_02_01_01,5,3,happy,0.379146,0.213466,0.306877,0.10051
05_03_02_01_02,5,3,happy,0.492324,0.199193,0.222137,0.086346
05_03_02_02_01,5,3,happy,0.56672,0.171701,0.191356,0.070223
05_03_02_02_02,5,3,happy,0.441898,0.189636,0.277433,0.091033
05_04_01_01_01,5,4,sad,0.176952,0.218805,0.335986,0.268256
05_04_01_01_02,5,4,sad,0.167275,0.241801,0.289011,0.301913
05_04_01_02_01,5,4,sad,0.178933,0.223256,0.283699,0.314112
05_04_01_02_02,5,4,sad,0.175464,0.218768,0.274398,0.331369
05_04_02_01_01,5,4,sad,0.139851,0.26083,0.467489,0.131831
05_04_02_01_02,5,4,sad,0.128729,0.350881,0.33187,0.18852
05_04_02_02_01,5,4,sad,0.152714,0.265612,0.324867,0.256807
05_04_02_02_02,5,4,sad,0.140894,0.299934,0.33602,0.223151
05_05_01_01_01,5,5,angry,0.172957,0.2647,0.240067,0.322276
05_05_01_01_02,5,5,angry,0.165884,0.281621,0.332845,0.219649
05_05_01_02_01,5,5,angry,0.172155,0.260989,0.264964,0.301891
05_05_01_02_02,5,5,angry,0.172091,0.286883,0.252475,0.288551
05_05_02_01_01,5,5,angry,0.175587,0.266735,0.306737,0.250941
05_05_02_01_02,5,5,angry,0.172949,0.237259,0.255306,0.334487
05_05_02_02_01,5,5,angry,0.167628,0.270609,0.278145,0.283619
05_05_02_02_02,5,5,angry,0.162276,0.309949,0.291615,0.23616
05_06_01_01_01,5,6,neutral,0.168931,0.244846,0.249511,0.336713
05_06_01_01_02,5,6,neutral,0.171812,0.233692,0.246059,0.348437
05_06_01_02_01,5,6,neutral,0.173326,0.217911,0.233197,0.375566
05_06_01_02_02,5,6,neutral,0.169483,0.229855,0.253346,0.347315
05_06_02_01_01,5,6,neutral,0.169287,0.263733,0.274306,0.292674
05_06_02_01_02,5,6,neutral,0.154195,0.298715,0.28341,0.26368
05_06_02_02_01,5,6,neutral,0.145249,0.310052,0.308375,0.236324
05_06_02_02_02,5,6,neutral,0.150619,0.322447,0.297224,0.22971
05_07_01_01_01,5,7,neutral,0.156905,0.357905,0.282504,0.202687
05_07_01_01_02,5,7,neutral,0.170423,0.28122,0.274587,0.273771
05_07_01_02_01,5,7,neutral,0.16938,0.314954,0.281891,0.233775
05_07_01_02_02,5,7,neutral,0.175626,0.305141,0.241497,0.277736
05_07_02_01_01,5,7,neutral,0.163511,0.328411,0.392227,0.115851
05_07_02_01_02,5,7,neutral,0.151621,0.342058,0.361065,0.145256
05_07_02_02_01,5,7,neutral,0.132508,0.437588,0.338171,0.091732
05_07_02_02_02,5,7,neutral,0.164303,0.371724,0.330968,0.133005
05_08_01_01_01,5,8,neutral,0.18032,0.227775,0.450911,0.140993
05_08_01_01_02,5,8,neutral,0.162873,0.219699,0.481088,0.13634
05_08_01_02_01,5,8,neutral,0.194517,0.217955,0.317309,0.270219
05_08_01_02_02,5,8,neutral,0.222298,0.203772,0.452116,0.121813
05_08_02_01_01,5,8,neutral,0.176806,0.283675,0.378949,0.160569
05_08_02_01_02,5,8,neutral,0.183003,0.293956,0.325869,0.197172
05_08_02_02_01,5,8,neutral,0.214636,0.290799,0.235846,0.25872
05_08_02_02_02,5,8,neutral,0.21184,0.266087,0.340035,0.182038
06_01_01_01_01,6,1,neutral,0.153976,0.375665,0.25981,0.210549
06_01_01_01_02,6,1,neutral,0.160902,0.391338,0.240829,0.206932
06_01_01_02_01,6,1,neutral,0.153636,0.398654,0.244086,0.203624
06_01_01_02_02,6,1,neutral,0.152269,0.402615,0.249359,0.195757
06_02_01_01_01,6,2,neutral,0.188645,0.396732,0.212079,0.202543
06_02_01_01_02,6,2,neutral,0.17975,0.405364,0.21462,0.200267
06_02_01_02_01,6,2,neutral,0.221505,0.388335,0.217777,0.172384
06_02_01_02_02,6,2,neutral,0.205694,0.409388,0.212931,0.171988
06_02_02_01_01,6,2,neutral,0.219499,0.400796,0.205468,0.174236
06_02_02_01_02,6,2,neutral,0.175058,0.41308,0.221536,0.190326
06_02_02_02_01,6,2,neutral,0.208471,0.391838,0.205717,0.193974
06_02_02_02_02,6,2,neutral,0.212928,0.363558,0.192409,0.231104
06_03_01_01_01,6,3,happy,0.582863,0.266172,0.088177,0.062788
06_03_01_01_02,6,3,happy,0.573396,0.266327,0.092228,0.068049
06_03_01_02_01,6,3,happy,0.545968,0.284249,0.09978,0.070003
06_03_01_02_02,6,3,happy,0.587584,0.254603,0.092126,0.065686
06_03_02_01_01,6,3,happy,0.611493,0.262255,0.071526,0.054726
06_03_02_01_02,6,3,happy,0.565239,0.29075,0.081287,0.062725
06_03_02_02_01,6,3,happy,0.617606,0.257581,0.070367,0.054447
06_03_02_02_02,6,3,happy,0.530087,0.30047,0.095578,0.073866
06_04_01_01_01,6,4,sad,0.122917,0.426427,0.302552,0.148104
06_04_01_01_02,6,4,sad,0.117942,0.451717,0.301358,0.128983
06_04_01_02_01,6,4,sad,0.125449,0.436324,0.287946,0.150281
06_04_01_02_02,6,4,sad,0.11527,0.453111,0.303161,0.128458
06_04_02_01_01,6,4,sad,0.214395,0.509704,0.208771,0.067129
06_04_02_01_02,6,4,sad,0.133383,0.493556,0.288883,0.084178
06_04_02_02_01,6,4,sad,0.18763,0.53538,0.208078,0.068912
06_04_02_02_02,6,4,sad,0.13127,0.512548,0.276424,0.079758
06_05_01_01_01,6,5,angry,0.136124,0.509744,0.201708,0.152424
06_05_01_01_02,6,5,angry,0.147099,0.478309,0.208978,0.165614
06_05_01_02_01,6,5,angry,0.136845,0.483541,0.226953,0.152662
06_05_01_02_02,6,5,angry,0.135436,0.501351,0.219244,0.143969
06_05_02_01_01,6,5,angry,0.14339,0.519248,0.214062,0.1233
06_05_02_01_02,6,5,angry,0.150221,0.538001,0.190088,0.12169
06_05_02_02_01,6,5,angry,0.132858,0.53158,0.208137,0.127426
06_05_02_02_02,6,5,angry,0.134389,0.557266,0.192169,0.116176
06_06_01_01_01,6,6,neutral,0.137096,0.447485,0.248511,0.166908
06_06_01_01_02,6,6,neutral,0.12831,0.485721,0.265669,0.1203
06_06_01_02_01,6,6,neutral,0.124417,0.453758,0.276045,0.145779
06_06_01_02_02,6,6,neutral,0.133446,0.446352,0.25685,0.163353
06_06_02_01_01,6,6,neutral,0.167032,0.579124,0.190783,0.063061
06_06_02_01_02,6,6,neutral,0.191419,0.475453,0.235415,0.097713
06_06_02_02_01,6,6,neutral,0.140946,0.511298,0.253583,0.094173
06_06_02_02_02,6,6,neutral,0.162374,0.52462,0.226129,0.086877
06_07_01_01_01,6,7,neutral,0.12526,0.515556,0.260239,0.098944
06_07_01_01_02,6,7,neutral,0.155917,0.426018,0.314929,0.103137
06_07_01_02_01,6,7,neutral,0.170705,0.352692,0.380754,0.095849
06_07_01_02_02,6,7,neutral,0.143855,0.492118,0.246672,0.117355
06_07_02_01_01,6,7,neutral,0.212996,0.521814,0.181238,0.083953
06_07_02_01_02,6,7,neutral,0.242413,0.490176,0.180349,0.087063
06_07_02_02_01,6,7,neutral,0.158832,0.532911,0.219383,0.088874
06_07_02_02_02,6,7,neutral,0.220867,0.49392,0.19576,0.089452
06_08_01_01_01,6,8,neutral,0.131674,0.428087,0.26074,0.179499
06_08_01_01_02,6,8,neutral,0.124649,0.463338,0.249133,0.16288
06_08_01_02_01,6,8,neutral,0.140191,0.430444,0.225888,0.203477
06_08_01_02_02,6,8,neutral,0.142766,0.418861,0.231021,0.207352
06_08_02_01_01,6,8,neutral,0.141904,0.423029,0.22745,0.207618
06_08_02_01_02,6,8,neutral,0.144257,0.487419,0.20984,0.158484
06_08_02_02_01,6,8,neutral,0.151404,0.467004,0.211824,0.169769
06_08_02_02_02,6,8,neutral,0.143699,0.49139,0.211394,0.153517
07_01_01_01_01,7,1,neutral,0.202856,0.253133,0.178488,0.365522
07_01_01_01_02,7,1,neutral,0.186024,0.239312,0.182536,0.392128
07_01_01_02_01,7,1,neutral,0.1851,0.249699,0.183037,0.382164
07_01_01_02_02,7,1,neutral,0.193106,0.23855,0.17875,0.389593
07_02_01_01_01,7,2,neutral,0.308005,0.239607,0.164683,0.287705
07_02_01_01_02,7,2,neutral,0.422528,0.222446,0.141356,0.21367
07_02_01_02_01,7,2,neutral,0.286072,0.228651,0.165888,0.319389
07_02_01_02_02,7,2,neutral,0.309559,0.243106,0.172006,0.275329
07_02_02_01_01,7,2,neutral,0.311936,0.231221,0.160838,0.296004
07_02_02_01_02,7,2,neutral,0.306797,0.225631,0.162832,0.304741
