pair_id,actor,gender,statement,intensity,repetition,audio_clip_id,video_clip_id,audio_emotion_4class,video_emotion_4class,label,p_audio_happy,p_audio_angry,p_audio_sad,p_audio_neutral,p_video_happy,p_video_angry,p_video_sad,p_video_neutral,p_text_happy,p_text_angry,p_text_sad,p_text_neutral,jsd_text_audio,jsd_text_video,jsd_audio_video,jsd_composite
01_1_1_1_Adisgust_Vfearful,1,male,1,1,1,01_07_01_01_01,01_06_01_01_01,neutral,neutral,0,0.827243,0.02582,0.042111,0.104826,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388,0.694067,0.42975,0.383692,0.502503
01_1_1_1_Adisgust_Vhappy,1,male,1,1,1,01_07_01_01_01,01_03_01_01_01,neutral,happy,1,0.827243,0.02582,0.042111,0.104826,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388,0.694067,0.648341,0.082926,0.475111
01_1_1_1_Adisgust_Vneutral,1,male,1,1,1,01_07_01_01_01,01_01_01_01_01,neutral,neutral,0,0.827243,0.02582,0.042111,0.104826,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388,0.694067,0.367632,0.34116,0.46762
01_1_1_1_Adisgust_Vsad,1,male,1,1,1,01_07_01_01_01,01_04_01_01_01,neutral,sad,1,0.827243,0.02582,0.042111,0.104826,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388,0.694067,0.434814,0.380386,0.503089
01_1_1_1_Adisgust_Vsurprised,1,male,1,1,1,01_07_01_01_01,01_08_01_01_01,neutral,neutral,0,0.827243,0.02582,0.042111,0.104826,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388,0.694067,0.420879,0.381542,0.498829
01_1_1_1_Afearful_Vangry,1,male,1,1,1,01_06_01_01_01,01_05_01_01_01,neutral,angry,1,0.924972,0.024739,0.008383,0.041905,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388,0.82188,0.442045,0.502332,0.588752
01_1_1_1_Afearful_Vcalm,1,male,1,1,1,01_06_01_01_01,01_02_01_01_01,neutral,neutral,0,0.924972,0.024739,0.008383,0.041905,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388,0.82188,0.412532,0.384773,0.539728
01_1_1_1_Afearful_Vdisgust,1,male,1,1,1,01_06_01_01_01,01_07_01_01_01,neutral,neutral,0,0.924972,0.024739,0.008383,0.041905,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388,0.82188,0.693162,0.346,0.620347
01_1_1_1_Afearful_Vfearful,1,male,1,1,1,01_06_01_01_01,01_06_01_01_01,neutral,neutral,0,0.924972,0.024739,0.008383,0.041905,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388,0.82188,0.42975,0.504093,0.585241
01_1_1_1_Afearful_Vhappy,1,male,1,1,1,01_06_01_01_01,01_03_01_01_01,neutral,happy,1,0.924972,0.024739,0.008383,0.041905,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388,0.82188,0.648341,0.135882,0.535368
01_1_1_1_Afearful_Vneutral,1,male,1,1,1,01_06_01_01_01,01_01_01_01_01,neutral,neutral,0,0.924972,0.024739,0.008383,0.041905,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388,0.82188,0.367632,0.466229,0.551914
01_1_1_1_Afearful_Vsad,1,male,1,1,1,01_06_01_01_01,01_04_01_01_01,neutral,sad,1,0.924972,0.024739,0.008383,0.041905,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388,0.82188,0.434814,0.501162,0.585952
01_1_1_1_Afearful_Vsurprised,1,male,1,1,1,01_06_01_01_01,01_08_01_01_01,neutral,neutral,0,0.924972,0.024739,0.008383,0.041905,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388,0.82188,0.420879,0.502776,0.581845
01_1_1_1_Ahappy_Vangry,1,male,1,1,1,01_03_01_01_01,01_05_01_01_01,happy,angry,1,0.722716,0.109458,0.001076,0.166749,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388,0.590802,0.442045,0.310593,0.447813
01_1_1_1_Ahappy_Vcalm,1,male,1,1,1,01_03_01_01_01,01_02_01_01_01,happy,neutral,1,0.722716,0.109458,0.001076,0.166749,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388,0.590802,0.412532,0.216571,0.406635
01_1_1_1_Ahappy_Vdisgust,1,male,1,1,1,01_03_01_01_01,01_07_01_01_01,happy,neutral,1,0.722716,0.109458,0.001076,0.166749,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388,0.590802,0.693162,0.230497,0.50482
01_1_1_1_Ahappy_Vfearful,1,male,1,1,1,01_03_01_01_01,01_06_01_01_01,happy,neutral,1,0.722716,0.109458,0.001076,0.166749,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388,0.590802,0.42975,0.31178,0.44411
01_1_1_1_Ahappy_Vhappy,1,male,1,1,1,01_03_01_01_01,01_03_01_01_01,happy,happy,0,0.722716,0.109458,0.001076,0.166749,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388,0.590802,0.648341,0.071877,0.437007
01_1_1_1_Ahappy_Vneutral,1,male,1,1,1,01_03_01_01_01,01_01_01_01_01,happy,neutral,1,0.722716,0.109458,0.001076,0.166749,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388,0.590802,0.367632,0.276405,0.411613
01_1_1_1_Ahappy_Vsad,1,male,1,1,1,01_03_01_01_01,01_04_01_01_01,happy,sad,1,0.722716,0.109458,0.001076,0.166749,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388,0.590802,0.434814,0.312078,0.445898
01_1_1_1_Ahappy_Vsurprised,1,male,1,1,1,01_03_01_01_01,01_08_01_01_01,happy,neutral,1,0.722716,0.109458,0.001076,0.166749,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388,0.590802,0.420879,0.309484,0.440388
01_1_1_1_Aneutral_Vangry,1,male,1,1,1,01_01_01_01_01,01_05_01_01_01,neutral,angry,1,0.670219,0.096412,0.007584,0.225785,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388,0.512664,0.442045,0.277324,0.410678
01_1_1_1_Aneutral_Vcalm,1,male,1,1,1,01_01_01_01_01,01_02_01_01_01,neutral,neutral,0,0.670219,0.096412,0.007584,0.225785,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388,0.512664,0.412532,0.182487,0.369228
01_1_1_1_Aneutral_Vdisgust,1,male,1,1,1,01_01_01_01_01,01_07_01_01_01,neutral,neutral,0,0.670219,0.096412,0.007584,0.225785,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388,0.512664,0.693162,0.227371,0.477732
01_1_1_1_Aneutral_Vfearful,1,male,1,1,1,01_01_01_01_01,01_06_01_01_01,neutral,neutral,0,0.670219,0.096412,0.007584,0.225785,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388,0.512664,0.42975,0.27687,0.406428
01_1_1_1_Aneutral_Vhappy,1,male,1,1,1,01_01_01_01_01,01_03_01_01_01,neutral,happy,1,0.670219,0.096412,0.007584,0.225785,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388,0.512664,0.648341,0.069382,0.410129
01_1_1_1_Aneutral_Vneutral,1,male,1,1,1,01_01_01_01_01,01_01_01_01_01,neutral,neutral,0,0.670219,0.096412,0.007584,0.225785,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388,0.512664,0.367632,0.235611,0.371969
01_1_1_1_Aneutral_Vsad,1,male,1,1,1,01_01_01_01_01,01_04_01_01_01,neutral,sad,1,0.670219,0.096412,0.007584,0.225785,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388,0.512664,0.434814,0.277231,0.408236
01_1_1_1_Aneutral_Vsurprised,1,male,1,1,1,01_01_01_01_01,01_08_01_01_01,neutral,neutral,0,0.670219,0.096412,0.007584,0.225785,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388,0.512664,0.420879,0.273736,0.402426
01_1_1_1_Asad_Vangry,1,male,1,1,1,01_04_01_01_01,01_05_01_01_01,sad,angry,1,0.609466,0.038018,0.056157,0.296359,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388,0.440277,0.442045,0.255513,0.379278
01_1_1_1_Asad_Vcalm,1,male,1,1,1,01_04_01_01_01,01_02_01_01_01,sad,neutral,1,0.609466,0.038018,0.056157,0.296359,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388,0.440277,0.412532,0.153342,0.335384
01_1_1_1_Asad_Vdisgust,1,male,1,1,1,01_04_01_01_01,01_07_01_01_01,sad,neutral,1,0.609466,0.038018,0.056157,0.296359,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388,0.440277,0.693162,0.246863,0.4601
01_1_1_1_Asad_Vfearful,1,male,1,1,1,01_04_01_01_01,01_06_01_01_01,sad,neutral,1,0.609466,0.038018,0.056157,0.296359,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388,0.440277,0.42975,0.251237,0.373754
01_1_1_1_Asad_Vhappy,1,male,1,1,1,01_04_01_01_01,01_03_01_01_01,sad,happy,1,0.609466,0.038018,0.056157,0.296359,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388,0.440277,0.648341,0.081283,0.389967
01_1_1_1_Asad_Vneutral,1,male,1,1,1,01_04_01_01_01,01_01_01_01_01,sad,neutral,1,0.609466,0.038018,0.056157,0.296359,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388,0.440277,0.367632,0.198193,0.335367
01_1_1_1_Asad_Vsad,1,male,1,1,1,01_04_01_01_01,01_04_01_01_01,sad,sad,0,0.609466,0.038018,0.056157,0.296359,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388,0.440277,0.434814,0.249502,0.374864
01_1_1_1_Asad_Vsurprised,1,male,1,1,1,01_04_01_01_01,01_08_01_01_01,sad,neutral,1,0.609466,0.038018,0.056157,0.296359,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388,0.440277,0.420879,0.246937,0.369364
01_1_1_1_Asurprised_Vangry,1,male,1,1,1,01_08_01_01_01,01_05_01_01_01,neutral,angry,1,0.713917,0.120504,0.012638,0.152941,0.152797,0.370118,0.216159,0.260927,0.004626,0.024107,0.005878,0.965388,0.60258,0.442045,0.279619,0.441415
01_1_1_1_Asurprised_Vcalm,1,male,1,1,1,01_08_01_01_01,01_02_01_01_01,neutral,neutral,0,0.713917,0.120504,0.012638,0.152941,0.249585,0.260601,0.197373,0.292442,0.004626,0.024107,0.005878,0.965388,0.60258,0.412532,0.189758,0.401624
01_1_1_1_Asurprised_Vdisgust,1,male,1,1,1,01_08_01_01_01,01_07_01_01_01,neutral,neutral,0,0.713917,0.120504,0.012638,0.152941,0.311646,0.431421,0.177534,0.079398,0.004626,0.024107,0.005878,0.965388,0.60258,0.693162,0.1956,0.497114
01_1_1_1_Asurprised_Vfearful,1,male,1,1,1,01_08_01_01_01,01_06_01_01_01,neutral,neutral,0,0.713917,0.120504,0.012638,0.152941,0.151113,0.353314,0.222882,0.272692,0.004626,0.024107,0.005878,0.965388,0.60258,0.42975,0.281101,0.43781
01_1_1_1_Asurprised_Vhappy,1,male,1,1,1,01_08_01_01_01,01_03_01_01_01,neutral,happy,1,0.713917,0.120504,0.012638,0.152941,0.575946,0.198471,0.113014,0.11257,0.004626,0.024107,0.005878,0.965388,0.60258,0.648341,0.047745,0.432889
01_1_1_1_Asurprised_Vneutral,1,male,1,1,1,01_08_01_01_01,01_01_01_01_01,neutral,neutral,0,0.713917,0.120504,0.012638,0.152941,0.177941,0.272931,0.212311,0.336817,0.004626,0.024107,0.005878,0.965388,0.60258,0.367632,0.24919,0.406467
01_1_1_1_Asurprised_Vsad,1,male,1,1,1,01_08_01_01_01,01_04_01_01_01,neutral,sad,1,0.713917,0.120504,0.012638,0.152941,0.153651,0.343135,0.234945,0.268268,0.004626,0.024107,0.005878,0.965388,0.60258,0.434814,0.281063,0.439486
01_1_1_1_Asurprised_Vsurprised,1,male,1,1,1,01_08_01_01_01,01_08_01_01_01,neutral,neutral,0,0.713917,0.120504,0.012638,0.152941,0.151714,0.34641,0.220658,0.281218,0.004626,0.024107,0.005878,0.965388,0.60258,0.420879,0.279204,0.434221
01_1_1_2_Aangry_Vangry,1,male,1,1,2,01_05_01_01_02,01_05_01_01_02,angry,angry,0,0.234239,0.746493,0.00032,0.018948,0.156708,0.346912,0.21036,0.28602,0.004626,0.024107,0.005878,0.965388,0.837733,0.415813,0.264374,0.505973
01_1_1_2_Aangry_Vcalm,1,male,1,1,2,01_05_01_01_02,01_02_01_01_02,angry,neutral,1,0.234239,0.746493,0.00032,0.018948,0.241039,0.253436,0.197629,0.307897,0.004626,0.024107,0.005878,0.965388,0.837733,0.397062,0.30017,0.511655
01_1_1_2_Aangry_Vdisgust,1,male,1,1,2,01_05_01_01_02,01_07_01_01_02,angry,neutral,1,0.234239,0.746493,0.00032,0.018948,0.269736,0.487768,0.17573,0.066766,0.004626,0.024107,0.005878,0.965388,0.837733,0.715797,0.117143,0.556891
01_1_1_2_Aangry_Vfearful,1,male,1,1,2,01_05_01_01_02,01_06_01_01_02,angry,neutral,1,0.234239,0.746493,0.00032,0.018948,0.215944,0.390835,0.225236,0.167986,0.004626,0.024107,0.005878,0.965388,0.837733,0.554639,0.201326,0.531233
01_1_1_2_Aangry_Vhappy,1,male,1,1,2,01_05_01_01_02,01_03_01_01_02,angry,happy,1,0.234239,0.746493,0.00032,0.018948,0.664424,0.180681,0.083979,0.070916,0.004626,0.024107,0.005878,0.965388,0.837733,0.72433,0.263301,0.608455
01_1_1_2_Aangry_Vneutral,1,male,1,1,2,01_05_01_01_02,01_01_01_01_02,angry,neutral,1,0.234239,0.746493,0.00032,0.018948,0.216042,0.258809,0.201891,0.323259,0.004626,0.024107,0.005878,0.965388,0.837733,0.381461,0.306958,0.508717
01_1_1_2_Aangry_Vsad,1,male,1,1,2,01_05_01_01_02,01_04_01_01_02,angry,sad,1,0.234239,0.746493,0.00032,0.018948,0.143639,0.350081,0.244863,0.261417,0.004626,0.024107,0.005878,0.965388,0.837733,0.442116,0.271774,0.517207
01_1_1_2_Aangry_Vsurprised,1,male,1,1,2,01_05_01_01_02,01_08_01_01_02,angry,neutral,1,0.234239,0.746493,0.00032,0.018948,0.180739,0.305723,0.207563,0.305976,0.004626,0.024107,0.005878,0.965388,0.837733,0.39665,0.28376,0.506048
01_1_1_2_Acalm_Vangry,1,male,1,1,2,01_02_01_01_02,01_05_01_01_02,neutral,angry,1,0.785471,0.019555,0.017003,0.177971,0.156708,0.346912,0.21036,0.28602,0.004626,0.024107,0.005878,0.965388,0.591833,0.415813,0.372656,0.460101
01_1_1_2_Acalm_Vcalm,1,male,1,1,2,01_02_01_01_02,01_02_01_01_02,neutral,neutral,0,0.785471,0.019555,0.017003,0.177971,0.241039,0.253436,0.197629,0.307897,0.004626,0.024107,0.005878,0.965388,0.591833,0.397062,0.272535,0.420477
01_1_1_2_Acalm_Vdisgust,1,male,1,1,2,01_02_01_01_02,01_07_01_01_02,neutral,neutral,0,0.785471,0.019555,0.017003,0.177971,0.269736,0.487768,0.17573,0.066766,0.004626,0.024107,0.005878,0.965388,0.591833,0.715797,0.362625,0.556752
01_1_1_2_Acalm_Vfearful,1,male,1,1,2,01_02_01_01_02,01_06_01_01_02,neutral,neutral,0,0.785471,0.019555,0.017003,0.177971,0.215944,0.390835,0.225236,0.167986,0.004626,0.024107,0.005878,0.965388,0.591833,0.554639,0.349424,0.498632
01_1_1_2_Acalm_Vhappy,1,male,1,1,2,01_02_01_01_02,01_03_01_01_02,neutral,happy,1,0.785471,0.019555,0.017003,0.177971,0.664424,0.180681,0.083979,0.070916,0.004626,0.024107,0.005878,0.965388,0.591833,0.72433,0.092193,0.469452
01_1_1_2_Acalm_Vneutral,1,male,1,1,2,01_02_01_01_02,01_01_01_01_02,neutral,neutral,0,0.785471,0.019555,0.017003,0.177971,0.216042,0.258809,0.201891,0.323259,0.004626,0.024107,0.005878,0.965388,0.591833,0.381461,0.293917,0.422403
01_1_1_2_Acalm_Vsad,1,male,1,1,2,01_02_01_01_02,01_04_01_01_02,neutral,sad,1,0.785471,0.019555,0.017003,0.177971,0.143639,0.350081,0.244863,0.261417,0.004626,0.024107,0.005878,0.965388,0.591833,0.442116,0.396878,0.476942
01_1_1_2_Acalm_Vsurprised,1,male,1,1,2,01_02_01_01_02,01_08_01_01_02,neutral,neutral,0,0.785471,0.019555,0.017003,0.177971,0.180739,0.305723,0.207563,0.305976,0.004626,0.024107,0.005878,0.965388,0.591833,0.39665,0.337718,0.442067
01_1_1_2_Adisgust_Vangry,1,male,1,1,2,01_07_01_01_02,01_05_01_01_02,neutral,angry,1,0.837892,0.074242,0.018126,0.06974,0.156708,0.346912,0.21036,0.28602,0.004626,0.024107,0.005878,0.965388,0.745881,0.415813,0.373328,0.511674
01_1_1_2_Adisgust_Vcalm,1,male,1,1,2,01_07_01_01_02,01_02_01_01_02,neutral,neutral,0,0.837892,0.074242,0.018126,0.06974,0.241039,0.253436,0.197629,0.307897,0.004626,0.024107,0.005878,0.965388,0.745881,0.397062,0.284891,0.475945
01_1_1_2_Adisgust_Vdisgust,1,male,1,1,2,01_07_01_01_02,01_07_01_01_02,neutral,neutral,0,0.837892,0.074242,0.018126,0.06974,0.269736,0.487768,0.17573,0.066766,0.004626,0.024107,0.005878,0.965388,0.745881,0.715797,0.286563,0.582747
01_1_1_2_Adisgust_Vfearful,1,male,1,1,2,01_07_01_01_02,01_06_01_01_02,neutral,neutral,0,0.837892,0.074242,0.018126,0.06974,0.215944,0.390835,0.225236,0.167986,0.004626,0.024107,0.005878,0.965388,0.745881,0.554639,0.316881,0.539134
01_1_1_2_Adisgust_Vhappy,1,male,1,1,2,01_07_01_01_02,01_03_01_01_02,neutral,happy,1,0.837892,0.074242,0.018126,0.06974,0.664424,0.180681,0.083979,0.070916,0.004626,0.024107,0.005878,0.965388,0.745881,0.72433,0.040386,0.503532
01_1_1_2_Adisgust_Vneutral,1,male,1,1,2,01_07_01_01_02,01_01_01_01_02,neutral,neutral,0,0.837892,0.074242,0.018126,0.06974,0.216042,0.258809,0.201891,0.323259,0.004626,0.024107,0.005878,0.965388,0.745881,0.381461,0.309208,0.47885
01_1_1_2_Adisgust_Vsad,1,male,1,1,2,01_07_01_01_02,01_04_01_01_02,neutral,sad,1,0.837892,0.074242,0.018126,0.06974,0.143639,0.350081,0.244863,0.261417,0.004626,0.024107,0.005878,0.965388,0.745881,0.442116,0.39277,0.526922
01_1_1_2_Adisgust_Vsurprised,1,male,1,1,2,01_07_01_01_02,01_08_01_01_02,neutral,neutral,0,0.837892,0.074242,0.018126,0.06974,0.180739,0.305723,0.207563,0.305976,0.004626,0.024107,0.005878,0.965388,0.745881,0.39665,0.345572,0.496034
01_1_1_2_Afearful_Vangry,1,male,1,1,2,01_06_01_01_02,01_05_01_01_02,neutral,angry,1,0.848247,0.012105,0.005261,0.134387,0.156708,0.346912,0.21036,0.28602,0.004626,0.024107,0.005878,0.965388,0.662522,0.415813,0.440156,0.506164
01_1_1_2_Afearful_Vcalm,1,male,1,1,2,01_06_01_01_02,01_02_01_01_02,neutral,neutral,0,0.848247,0.012105,0.005261,0.134387,0.241039,0.253436,0.197629,0.307897,0.004626,0.024107,0.005878,0.965388,0.662522,0.397062,0.335689,0.465091
01_1_1_2_Afearful_Vdisgust,1,male,1,1,2,01_06_01_01_02,01_07_01_01_02,neutral,neutral,0,0.848247,0.012105,0.005261,0.134387,0.269736,0.487768,0.17573,0.066766,0.004626,0.024107,0.005878,0.965388,0.662522,0.715797,0.403905,0.594075
01_1_1_2_Afearful_Vfearful,1,male,1,1,2,01_06_01_01_02,01_06_01_01_02,neutral,neutral,0,0.848247,0.012105,0.005261,0.134387,0.215944,0.390835,0.225236,0.167986,0.004626,0.024107,0.005878,0.965388,0.662522,0.554639,0.405641,0.540934
01_1_1_2_Afearful_Vhappy,1,male,1,1,2,01_06_01_01_02,01_03_01_01_02,neutral,happy,1,0.848247,0.012105,0.005261,0.134387,0.664424,0.180681,0.083979,0.070916,0.004626,0.024107,0.005878,0.965388,0.662522,0.72433,0.109238,0.498697
01_1_1_2_Afearful_Vneutral,1,male,1,1,2,01_06_01_01_02,01_01_01_01_02,neutral,neutral,0,0.848247,0.012105,0.005261,0.134387,0.216042,0.258809,0.201891,0.323259,0.004626,0.024107,0.005878,0.965388,0.662522,0.381461,0.359456,0.467813
01_1_1_2_Afearful_Vsad,1,male,1,1,2,01_06_01_01_02,01_04_01_01_02,neutral,sad,1,0.848247,0.012105,0.005261,0.134387,0.143639,0.350081,0.244863,0.261417,0.004626,0.024107,0.005878,0.965388,0.662522,0.442116,0.464462,0.523033
01_1_1_2_Afearful_Vsurprised,1,male,1,1,2,01_06_01_01_02,01_08_01_01_02,neutral,neutral,0,0.848247,0.012105,0.005261,0.134387,0.180739,0.305723,0.207563,0.305976,0.004626,0.024107,0.005878,0.965388,0.662522,0.39665,0.404748,0.487973
01_1_1_2_Ahappy_Vangry,1,male,1,1,2,01_03_01_01_02,01_05_01_01_02,happy,angry,1,0.816468,0.09748,0.003493,0.08256,0.156708,0.346912,0.21036,0.28602,0.004626,0.024107,0.005878,0.965388,0.722773,0.415813,0.367226,0.501937
01_1_1_2_Ahappy_Vcalm,1,male,1,1,2,01_03_01_01_02,01_02_01_01_02,happy,neutral,1,0.816468,0.09748,0.003493,0.08256,0.241039,0.253436,0.197629,0.307897,0.004626,0.024107,0.005878,0.965388,0.722773,0.397062,0.282971,0.467602
