clip_id,filename,actor,gender,emotion_code,emotion_label,emotion_4class,intensity,statement,repetition
01_05_02_01_01,03-01-05-02-01-01-01.wav,1,male,5,angry,angry,2,1,1
01_05_02_01_02,03-01-05-02-01-02-01.wav,1,male,5,angry,angry,2,1,2
01_05_02_02_01,03-01-05-02-02-01-01.wav,1,male,5,angry,angry,2,2,1
01_05_02_02_02,03-01-05-02-02-02-01.wav,1,male,5,angry,angry,2,2,2
01_06_01_01_01,03-01-06-01-01-01-01.wav,1,male,6,fearful,neutral,1,1,1
01_06_01_01_02,03-01-06-01-01-02-01.wav,1,male,6,fearful,neutral,1,1,2
01_06_01_02_01,03-01-06-01-02-01-01.wav,1,male,6,fearful,neutral,1,2,1
01_06_01_02_02,03-01-06-01-02-02-01.wav,1,male,6,fearful,neutral,1,2,2
01_06_02_01_01,03-01-06-02-01-01-01.wav,1,male,6,fearful,neutral,2,1,1
01_06_02_01_02,03-01-06-02-01-02-01.wav,1,male,6,fearful,neutral,2,1,2
01_06_02_02_01,03-01-06-02-02-01-01.wav,1,male,6,fearful,neutral,2,2,1
01_06_02_02_02,03-01-06-02-02-02-01.wav,1,male,6,fearful,neutral,2,2,2
01_07_01_01_01,03-01-07-01-01-01-01.wav,1,male,7,disgust,neutral,1,1,1
01_07_01_01_02,03-01-07-01-01-02-01.wav,1,male,7,disgust,neutral,1,1,2
01_07_01_02_01,03-01-07-01-02-01-01.wav,1,male,7,disgust,neutral,1,2,1
01_07_01_02_02,03-01-07-01-02-02-01.wav,1,male,7,disgust,neutral,1,2,2
01_07_02_01_01,03-01-07-02-01-01-01.wav,1,male,7,disgust,neutral,2,1,1
01_07_02_01_02,03-01-07-02-01-02-01.wav,1,male,7,disgust,neutral,2,1,2
01_07_02_02_01,03-01-07-02-02-01-01.wav,1,male,7,disgust,neutral,2,2,1
01_07_02_02_02,03-01-07-02-02-02-01.wav,1,male,7,disgust,neutral,2,2,2
01_08_01_01_01,03-01-08-01-01-01-01.wav,1,male,8,surprised,neutral,1,1,1
01_08_01_01_02,03-01-08-01-01-02-01.wav,1,male,8,surprised,neutral,1,1,2
01_08_01_02_01,03-01-08-01-02-01-01.wav,1,male,8,surprised,neutral,1,2,1
01_08_01_02_02,03-01-08-01-02-02-01.wav,1,male,8,surprised,neutral,1,2,2
01_08_02_01_01,03-01-08-02-01-01-01.wav,1,male,8,surprised,neutral,2,1,1
01_08_02_01_02,03-01-08-02-01-02-01.wav,1,male,8,surprised,neutral,2,1,2
01_08_02_02_01,03-01-08-02-02-01-01.wav,1,male,8,surprised,neutral,2,2,1
01_08_02_02_02,03-01-08-02-02-02-01.wav,1,male,8,surprised,neutral,2,2,2
02_01_01_01_01,03-01-01-01-01-01-02.wav,2,female,1,neutral,neutral,1,1,1
02_01_01_01_02,03-01-01-01-01-02-02.wav,2,female,1,neutral,neutral,1,1,2
02_01_01_02_01,03-01-01-01-02-01-02.wav,2,female,1,neutral,neutral,1,2,1
02_01_01_02_02,03-01-01-01-02-02-02.wav,2,female,1,neutral,neutral,1,2,2
02_02_01_01_01,03-01-02-01-01-01-02.wav,2,female,2,calm,neutral,1,1,1
02_02_01_01_02,03-01-02-01-01-02-02.wav,2,female,2,calm,neutral,1,1,2
02_02_01_02_01,03-01-02-01-02-01-02.wav,2,female,2,calm,neutral,1,2,1
02_02_01_02_02,03-01-02-01-02-02-02.wav,2,female,2,calm,neutral,1,2,2
02_02_02_01_01,03-01-02-02-01-01-02.wav,2,female,2,calm,neutral,2,1,1
02_02_02_01_02,03-01-02-02-01-02-02.wav,2,female,2,calm,neutral,2,1,2
02_02_02_02_01,03-01-02-02-02-01-02.wav,2,female,2,calm,neutral,2,2,1
02_02_02_02_02,03-01-02-02-02-02-02.wav,2,female,2,calm,neutral,2,2,2
02_03_01_01_01,03-01-03-01-01-01-02.wav,2,female,3,happy,happy,1,1,1
02_03_01_01_02,03-01-03-01-01-02-02.wav,2,female,3,happy,happy,1,1,2
02_03_01_02_01,03-01-03-01-02-01-02.wav,2,female,3,happy,happy,1,2,1
02_03_01_02_02,03-01-03-01-02-02-02.wav,2,female,3,happy,happy,1,2,2
02_03_02_01_01,03-01-03-02-01-01-02.wav,2,female,3,happy,happy,2,1,1
02_03_02_01_02,03-01-03-02-01-02-02.wav,2,female,3,happy,happy,2,1,2
02_03_02_02_01,03-01-03-02-02-01-02.wav,2,female,3,happy,happy,2,2,1
02_03_02_02_02,03-01-03-02-02-02-02.wav,2,female,3,happy,happy,2,2,2
02_04_01_01_01,03-01-04-01-01-01-02.wav,2,female,4,sad,sad,1,1,1
02_04_01_01_02,03-01-04-01-01-02-02.wav,2,female,4,sad,sad,1,1,2
02_04_01_02_01,03-01-04-01-02-01-02.wav,2,female,4,sad,sad,1,2,1
02_04_01_02_02,03-01-04-01-02-02-02.wav,2,female,4,sad,sad,1,2,2
02_04_02_01_01,03-01-04-02-01-01-02.wav,2,female,4,sad,sad,2,1,1
02_04_02_01_02,03-01-04-02-01-02-02.wav,2,female,4,sad,sad,2,1,2
02_04_02_02_01,03-01-04-02-02-01-02.wav,2,female,4,sad,sad,2,2,1
02_04_02_02_02,03-01-04-02-02-02-02.wav,2,female,4,sad,sad,2,2,2
02_05_01_01_01,03-01-05-01-01-01-02.wav,2,female,5,angry,angry,1,1,1
02_05_01_01_02,03-01-05-01-01-02-02.wav,2,female,5,angry,angry,1,1,2
02_05_01_02_01,03-01-05-01-02-01-02.wav,2,female,5,angry,angry,1,2,1
02_05_01_02_02,03-01-05-01-02-02-02.wav,2,female,5,angry,angry,1,2,2
02_05_02_01_01,03-01-05-02-01-01-02.wav,2,female,5,angry,angry,2,1,1
02_05_02_01_02,03-01-05-02-01-02-02.wav,2,female,5,angry,angry,2,1,2
02_05_02_02_01,03-01-05-02-02-01-02.wav,2,female,5,angry,angry,2,2,1
02_05_02_02_02,03-01-05-02-02-02-02.wav,2,female,5,angry,angry,2,2,2
02_06_01_01_01,03-01-06-01-01-01-02.wav,2,female,6,fearful,neutral,1,1,1
02_06_01_01_02,03-01-06-01-01-02-02.wav,2,female,6,fearful,neutral,1,1,2
02_06_01_02_01,03-01-06-01-02-01-02.wav,2,female,6,fearful,neutral,1,2,1
02_06_01_02_02,03-01-06-01-02-02-02.wav,2,female,6,fearful,neutral,1,2,2
02_06_02_01_01,03-01-06-02-01-01-02.wav,2,female,6,fearful,neutral,2,1,1
02_06_02_01_02,03-01-06-02-01-02-02.wav,2,female,6,fearful,neutral,2,1,2
02_06_02_02_01,03-01-06-02-02-01-02.wav,2,female,6,fearful,neutral,2,2,1
02_06_02_02_02,03-01-06-02-02-02-02.wav,2,female,6,fearful,neutral,2,2,2
02_07_01_01_01,03-01-07-01-01-01-02.wav,2,female,7,disgust,neutral,1,1,1
02_07_01_01_02,03-01-07-01-01-02-02.wav,2,female,7,disgust,neutral,1,1,2
02_07_01_02_01,03-01-07-01-02-01-02.wav,2,female,7,disgust,neutral,1,2,1
02_07_01_02_02,03-01-07-01-02-02-02.wav,2,female,7,disgust,neutral,1,2,2
02_07_02_01_01,03-01-07-02-01-01-02.wav,2,female,7,disgust,neutral,2,1,1
02_07_02_01_02,03-01-07-02-01-02-02.wav,2,female,7,disgust,neutral,2,1,2
02_07_02_02_01,03-01-07-02-02-01-02.wav,2,female,7,disgust,neutral,2,2,1
02_07_02_02_02,03-01-07-02-02-02-02.wav,2,female,7,disgust,neutral,2,2,2
02_08_01_01_01,03-01-08-01-01-01-02.wav,2,female,8,surprised,neutral,1,1,1
02_08_01_01_02,03-01-08-01-01-02-02.wav,2,female,8,surprised,neutral,1,1,2
02_08_01_02_01,03-01-08-01-02-01-02.wav,2,female,8,surprised,neutral,1,2,1
02_08_01_02_02,03-01-08-01-02-02-02.wav,2,female,8,surprised,neutral,1,2,2
02_08_02_01_01,03-01-08-02-01-01-02.wav,2,female,8,surprised,neutral,2,1,1
02_08_02_01_02,03-01-08-02-01-02-02.wav,2,female,8,surprised,neutral,2,1,2
02_08_02_02_01,03-01-08-02-02-01-02.wav,2,female,8,surprised,neutral,2,2,1
02_08_02_02_02,03-01-08-02-02-02-02.wav,2,female,8,surprised,neutral,2,2,2
03_01_01_01_01,03-01-01-01-01-01-03.wav,3,male,1,neutral,neutral,1,1,1
03_01_01_01_02,03-01-01-01-01-02-03.wav,3,male,1,neutral,neutral,1,1,2
03_01_01_02_01,03-01-01-01-02-01-03.wav,3,male,1,neutral,neutral,1,2,1
03_01_01_02_02,03-01-01-01-02-02-03.wav,3,male,1,neutral,neutral,1,2,2
03_02_01_01_01,03-01-02-01-01-01-03.wav,3,male,2,calm,neutral,1,1,1
03_02_01_01_02,03-01-02-01-01-02-03.wav,3,male,2,calm,neutral,1,1,2
03_02_01_02_01,03-01-02-01-02-01-03.wav,3,male,2,calm,neutral,1,2,1
03_02_01_02_02,03-01-02-01-02-02-03.wav,3,male,2,calm,neutral,1,2,2
03_02_02_01_01,03-01-02-02-01-01-03.wav,3,male,2,calm,neutral,2,1,1
03_02_02_01_02,03-01-02-02-01-02-03.wav,3,male,2,calm,neutral,2,1,2
03_02_02_02_01,03-01-02-02-02-01-03.wav,3,male,2,calm,neutral,2,2,1
03_02_02_02_02,03-01-02-02-02-02-03.wav,3,male,2,calm,neutral,2,2,2
03_03_01_01_01,03-01-03-01-01-01-03.wav,3,male,3,happy,happy,1,1,1
03_03_01_01_02,03-01-03-01-01-02-03.wav,3,male,3,happy,happy,1,1,2
03_03_01_02_01,03-01-03-01-02-01-03.wav,3,male,3,happy,happy,1,2,1
03_03_01_02_02,03-01-03-01-02-02-03.wav,3,male,3,happy,happy,1,2,2
03_03_02_01_01,03-01-03-02-01-01-03.wav,3,male,3,happy,happy,2,1,1
03_03_02_01_02,03-01-03-02-01-02-03.wav,3,male,3,happy,happy,2,1,2
03_03_02_02_01,03-01-03-02-02-01-03.wav,3,male,3,happy,happy,2,2,1
03_03_02_02_02,03-01-03-02-02-02-03.wav,3,male,3,happy,happy,2,2,2
03_04_01_01_01,03-01-04-01-01-01-03.wav,3,male,4,sad,sad,1,1,1
03_04_01_01_02,03-01-04-01-01-02-03.wav,3,male,4,sad,sad,1,1,2
03_04_01_02_01,03-01-04-01-02-01-03.wav,3,male,4,sad,sad,1,2,1
03_04_01_02_02,03-01-04-01-02-02-03.wav,3,male,4,sad,sad,1,2,2
03_04_02_01_01,03-01-04-02-01-01-03.wav,3,male,4,sad,sad,2,1,1
03_04_02_01_02,03-01-04-02-01-02-03.wav,3,male,4,sad,sad,2,1,2
03_04_02_02_01,03-01-04-02-02-01-03.wav,3,male,4,sad,sad,2,2,1
03_04_02_02_02,03-01-04-02-02-02-03.wav,3,male,4,sad,sad,2,2,2
03_05_01_01_01,03-01-05-01-01-01-03.wav,3,male,5,angry,angry,1,1,1
03_05_01_01_02,03-01-05-01-01-02-03.wav,3,male,5,angry,angry,1,1,2
03_05_01_02_01,03-01-05-01-02-01-03.wav,3,male,5,angry,angry,1,2,1
03_05_01_02_02,03-01-05-01-02-02-03.wav,3,male,5,angry,angry,1,2,2
03_05_02_01_01,03-01-05-02-01-01-03.wav,3,male,5,angry,angry,2,1,1
03_05_02_01_02,03-01-05-02-01-02-03.wav,3,male,5,angry,angry,2,1,2
03_05_02_02_01,03-01-05-02-02-01-03.wav,3,male,5,angry,angry,2,2,1
03_05_02_02_02,03-01-05-02-02-02-03.wav,3,male,5,angry,angry,2,2,2
03_06_01_01_01,03-01-06-01-01-01-03.wav,3,male,6,fearful,neutral,1,1,1
03_06_01_01_02,03-01-06-01-01-02-03.wav,3,male,6,fearful,neutral,1,1,2
03_06_01_02_01,03-01-06-01-02-01-03.wav,3,male,6,fearful,neutral,1,2,1
03_06_01_02_02,03-01-06-01-02-02-03.wav,3,male,6,fearful,neutral,1,2,2
03_06_02_01_01,03-01-06-02-01-01-03.wav,3,male,6,fearful,neutral,2,1,1
03_06_02_01_02,03-01-06-02-01-02-03.wav,3,male,6,fearful,neutral,2,1,2
03_06_02_02_01,03-01-06-02-02-01-03.wav,3,male,6,fearful,neutral,2,2,1
03_06_02_02_02,03-01-06-02-02-02-03.wav,3,male,6,fearful,neutral,2,2,2
03_07_01_01_01,03-01-07-01-01-01-03.wav,3,male,7,disgust,neutral,1,1,1
03_07_01_01_02,03-01-07-01-01-02-03.wav,3,male,7,disgust,neutral,1,1,2
03_07_01_02_01,03-01-07-01-02-01-03.wav,3,male,7,disgust,neutral,1,2,1
03_07_01_02_02,03-01-07-01-02-02-03.wav,3,male,7,disgust,neutral,1,2,2
03_07_02_01_01,03-01-07-02-01-01-03.wav,3,male,7,disgust,neutral,2,1,1
03_07_02_01_02,03-01-07-02-01-02-03.wav,3,male,7,disgust,neutral,2,1,2
03_07_02_02_01,03-01-07-02-02-01-03.wav,3,male,7,disgust,neutral,2,2,1
03_07_02_02_02,03-01-07-02-02-02-03.wav,3,male,7,disgust,neutral,2,2,2
03_08_01_01_01,03-01-08-01-01-01-03.wav,3,male,8,surprised,neutral,1,1,1
03_08_01_01_02,03-01-08-01-01-02-03.wav,3,male,8,surprised,neutral,1,1,2
03_08_01_02_01,03-01-08-01-02-01-03.wav,3,male,8,surprised,neutral,1,2,1
03_08_01_02_02,03-01-08-01-02-02-03.wav,3,male,8,surprised,neutral,1,2,2
03_08_02_01_01,03-01-08-02-01-01-03.wav,3,male,8,surprised,neutral,2,1,1
03_08_02_01_02,03-01-08-02-01-02-03.wav,3,male,8,surprised,neutral,2,1,2
03_08_02_02_01,03-01-08-02-02-01-03.wav,3,male,8,surprised,neutral,2,2,1
03_08_02_02_02,03-01-08-02-02-02-03.wav,3,male,8,surprised,neutral,2,2,2
04_01_01_01_01,03-01-01-01-01-01-04.wav,4,female,1,neutral,neutral,1,1,1
04_01_01_01_02,03-01-01-01-01-02-04.wav,4,female,1,neutral,neutral,1,1,2
04_01_01_02_01,03-01-01-01-02-01-04.wav,4,female,1,neutral,neutral,1,2,1
04_01_01_02_02,03-01-01-01-02-02-04.wav,4,female,1,neutral,neutral,1,2,2
04_02_01_01_01,03-01-02-01-01-01-04.wav,4,female,2,calm,neutral,1,1,1
04_02_01_01_02,03-01-02-01-01-02-04.wav,4,female,2,calm,neutral,1,1,2
04_02_01_02_01,03-01-02-01-02-01-04.wav,4,female,2,calm,neutral,1,2,1
04_02_01_02_02,03-01-02-01-02-02-04.wav,4,female,2,calm,neutral,1,2,2
04_02_02_01_01,03-01-02-02-01-01-04.wav,4,female,2,calm,neutral,2,1,1
04_02_02_01_02,03-01-02-02-01-02-04.wav,4,female,2,calm,neutral,2,1,2
04_02_02_02_01,03-01-02-02-02-01-04.wav,4,female,2,calm,neutral,2,2,1
04_02_02_02_02,03-01-02-02-02-02-04.wav,4,female,2,calm,neutral,2,2,2
04_03_01_01_01,03-01-03-01-01-01-04.wav,4,female,3,happy,happy,1,1,1
04_03_01_01_02,03-01-03-01-01-02-04.wav,4,female,3,happy,happy,1,1,2
04_03_01_02_01,03-01-03-01-02-01-04.wav,4,female,3,happy,happy,1,2,1
04_03_01_02_02,03-01-03-01-02-02-04.wav,4,female,3,happy,happy,1,2,2
04_03_02_01_01,03-01-03-02-01-01-04.wav,4,female,3,happy,happy,2,1,1
04_03_02_01_02,03-01-03-02-01-02-04.wav,4,female,3,happy,happy,2,1,2
04_03_02_02_01,03-01-03-02-02-01-04.wav,4,female,3,happy,happy,2,2,1
04_03_02_02_02,03-01-03-02-02-02-04.wav,4,female,3,happy,happy,2,2,2
04_04_01_01_01,03-01-04-01-01-01-04.wav,4,female,4,sad,sad,1,1,1
04_04_01_01_02,03-01-04-01-01-02-04.wav,4,female,4,sad,sad,1,1,2
04_04_01_02_01,03-01-04-01-02-01-04.wav,4,female,4,sad,sad,1,2,1
04_04_01_02_02,03-01-04-01-02-02-04.wav,4,female,4,sad,sad,1,2,2
04_04_02_01_01,03-01-04-02-01-01-04.wav,4,female,4,sad,sad,2,1,1
04_04_02_01_02,03-01-04-02-01-02-04.wav,4,female,4,sad,sad,2,1,2
04_04_02_02_01,03-01-04-02-02-01-04.wav,4,female,4,sad,sad,2,2,1
04_04_02_02_02,03-01-04-02-02-02-04.wav,4,female,4,sad,sad,2,2,2
04_05_01_01_01,03-01-05-01-01-01-04.wav,4,female,5,angry,angry,1,1,1
04_05_01_01_02,03-01-05-01-01-02-04.wav,4,female,5,angry,angry,1,1,2
04_05_01_02_01,03-01-05-01-02-01-04.wav,4,female,5,angry,angry,1,2,1
04_05_01_02_02,03-01-05-01-02-02-04.wav,4,female,5,angry,angry,1,2,2
04_05_02_01_01,03-01-05-02-01-01-04.wav,4,female,5,angry,angry,2,1,1
04_05_02_01_02,03-01-05-02-01-02-04.wav,4,female,5,angry,angry,2,1,2
04_05_02_02_01,03-01-05-02-02-01-04.wav,4,female,5,angry,angry,2,2,1
04_05_02_02_02,03-01-05-02-02-02-04.wav,4,female,5,angry,angry,2,2,2
04_06_01_01_01,03-01-06-01-01-01-04.wav,4,female,6,fearful,neutral,1,1,1
04_06_01_01_02,03-01-06-01-01-02-04.wav,4,female,6,fearful,neutral,1,1,2
04_06_01_02_01,03-01-06-01-02-01-04.wav,4,female,6,fearful,neutral,1,2,1
04_06_01_02_02,03-01-06-01-02-02-04.wav,4,female,6,fearful,neutral,1,2,2
04_06_02_01_01,03-01-06-02-01-01-04.wav,4,female,6,fearful,neutral,2,1,1
04_06_02_01_02,03-01-06-02-01-02-04.wav,4,female,6,fearful,neutral,2,1,2
04_06_02_02_01,03-01-06-02-02-01-04.wav,4,female,6,fearful,neutral,2,2,1
04_06_02_02_02,03-01-06-02-02-02-04.wav,4,female,6,fearful,neutral,2,2,2
04_07_01_01_01,03-01-07-01-01-01-04.wav,4,female,7,disgust,neutral,1,1,1
04_07_01_01_02,03-01-07-01-01-02-04.wav,4,female,7,disgust,neutral,1,1,2
04_07_01_02_01,03-01-07-01-02-01-04.wav,4,female,7,disgust,neutral,1,2,1
04_07_01_02_02,03-01-07-01-02-02-04.wav,4,female,7,disgust,neutral,1,2,2
04_07_02_01_01,03-01-07-02-01-01-04.wav,4,female,7,disgust,neutral,2,1,1
04_07_02_01_02,03-01-07-02-01-02-04.wav,4,female,7,disgust,neutral,2,1,2
04_07_02_02_01,03-01-07-02-02-01-04.wav,4,female,7,disgust,neutral,2,2,1
04_07_02_02_02,03-01-07-02-02-02-04.wav,4,female,7,disgust,neutral,2,2,2
04_08_01_01_01,03-01-08-01-01-01-04.wav,4,female,8,surprised,neutral,1,1,1
04_08_01_01_02,03-01-08-01-01-02-04.wav,4,female,8,surprised,neutral,1,1,2
04_08_01_02_01,03-01-08-01-02-01-04.wav,4,female,8,surprised,neutral,1,2,1
04_08_01_02_02,03-01-08-01-02-02-04.wav,4,female,8,surprised,neutral,1,2,2
04_08_02_01_01,03-01-08-02-01-01-04.wav,4,female,8,surprised,neutral,2,1,1
04_08_02_01_02,03-01-08-02-01-02-04.wav,4,female,8,surprised,neutral,2,1,2
04_08_02_02_01,03-01-08-02-02-01-04.wav,4,female,8,surprised,neutral,2,2,1
04_08_02_02_02,03-01-08-02-02-02-04.wav,4,female,8,surprised,neutral,2,2,2
05_01_01_01_01,03-01-01-01-01-01-05.wav,5,male,1,neutral,neutral,1,1,1
05_01_01_01_02,03-01-01-01-01-02-05.wav,5,male,1,neutral,neutral,1,1,2
05_01_01_02_01,03-01-01-01-02-01-05.wav,5,male,1,neutral,neutral,1,2,1
05_01_01_02_02,03-01-01-01-02-02-05.wav,5,male,1,neutral,neutral,1,2,2
05_02_01_01_01,03-01-02-01-01-01-05.wav,5,male,2,calm,neutral,1,1,1
05_02_01_01_02,03-01-02-01-01-02-05.wav,5,male,2,calm,neutral,1,1,2
05_02_01_02_01,03-01-02-01-02-01-05.wav,5,male,2,calm,neutral,1,2,1
05_02_01_02_02,03-01-02-01-02-02-05.wav,5,male,2,calm,neutral,1,2,2
05_02_02_01_01,03-01-02-02-01-01-05.wav,5,male,2,calm,neutral,2,1,1
05_02_02_01_02,03-01-02-02-01-02-05.wav,5,male,2,calm,neutral,2,1,2
05_02_02_02_01,03-01-02-02-02-01-05.wav,5,male,2,calm,neutral,2,2,1
05_02_02_02_02,03-01-02-02-02-02-05.wav,5,male,2,calm,neutral,2,2,2
05_03_01_01_01,03-01-03-01-01-01-05.wav,5,male,3,happy,happy,1,1,1
05_03_01_01_02,03-01-03-01-01-02-05.wav,5,male,3,happy,happy,1,1,2
05_03_01_02_01,03-01-03-01-02-01-05.wav,5,male,3,happy,happy,1,2,1
05_03_01_02_02,03-01-03-01-02-02-05.wav,5,male,3,happy,happy,1,2,2
05_03_02_01_01,03-01-03-02-01-01-05.wav,5,male,3,happy,happy,2,1,1
05_03_02_01_02,03-01-03-02-01-02-05.wav,5,male,3,happy,happy,2,1,2
05_03_02_02_01,03-01-03-02-02-01-05.wav,5,male,3,happy,happy,2,2,1
05_03_02_02_02,03-01-03-02-02-02-05.wav,5,male,3,happy,happy,2,2,2
05_04_01_01_01,03-01-04-01-01-01-05.wav,5,male,4,sad,sad,1,1,1
05_04_01_01_02,03-01-04-01-01-02-05.wav,5,male,4,sad,sad,1,1,2
05_04_01_02_01,03-01-04-01-02-01-05.wav,5,male,4,sad,sad,1,2,1
05_04_01_02_02,03-01-04-01-02-02-05.wav,5,male,4,sad,sad,1,2,2
05_04_02_01_01,03-01-04-02-01-01-05.wav,5,male,4,sad,sad,2,1,1
05_04_02_01_02,03-01-04-02-01-02-05.wav,5,male,4,sad,sad,2,1,2
05_04_02_02_01,03-01-04-02-02-01-05.wav,5,male,4,sad,sad,2,2,1
05_04_02_02_02,03-01-04-02-02-02-05.wav,5,male,4,sad,sad,2,2,2
05_05_01_01_01,03-01-05-01-01-01-05.wav,5,male,5,angry,angry,1,1,1
05_05_01_01_02,03-01-05-01-01-02-05.wav,5,male,5,angry,angry,1,1,2
05_05_01_02_01,03-01-05-01-02-01-05.wav,5,male,5,angry,angry,1,2,1
05_05_01_02_02,03-01-05-01-02-02-05.wav,5,male,5,angry,angry,1,2,2
05_05_02_01_01,03-01-05-02-01-01-05.wav,5,male,5,angry,angry,2,1,1
05_05_02_01_02,03-01-05-02-01-02-05.wav,5,male,5,angry,angry,2,1,2
05_05_02_02_01,03-01-05-02-02-01-05.wav,5,male,5,angry,angry,2,2,1
05_05_02_02_02,03-01-05-02-02-02-05.wav,5,male,5,angry,angry,2,2,2
05_06_01_01_01,03-01-06-01-01-01-05.wav,5,male,6,fearful,neutral,1,1,1
05_06_01_01_02,03-01-06-01-01-02-05.wav,5,male,6,fearful,neutral,1,1,2
05_06_01_02_01,03-01-06-01-02-01-05.wav,5,male,6,fearful,neutral,1,2,1
05_06_01_02_02,03-01-06-01-02-02-05.wav,5,male,6,fearful,neutral,1,2,2
05_06_02_01_01,03-01-06-02-01-01-05.wav,5,male,6,fearful,neutral,2,1,1
05_06_02_01_02,03-01-06-02-01-02-05.wav,5,male,6,fearful,neutral,2,1,2
05_06_02_02_01,03-01-06-02-02-01-05.wav,5,male,6,fearful,neutral,2,2,1
05_06_02_02_02,03-01-06-02-02-02-05.wav,5,male,6,fearful,neutral,2,2,2
05_07_01_01_01,03-01-07-01-01-01-05.wav,5,male,7,disgust,neutral,1,1,1
05_07_01_01_02,03-01-07-01-01-02-05.wav,5,male,7,disgust,neutral,1,1,2
05_07_01_02_01,03-01-07-01-02-01-05.wav,5,male,7,disgust,neutral,1,2,1
05_07_01_02_02,03-01-07-01-02-02-05.wav,5,male,7,disgust,neutral,1,2,2
05_07_02_01_01,03-01-07-02-01-01-05.wav,5,male,7,disgust,neutral,2,1,1
05_07_02_01_02,03-01-07-02-01-02-05.wav,5,male,7,disgust,neutral,2,1,2
05_07_02_02_01,03-01-07-02-02-01-05.wav,5,male,7,disgust,neutral,2,2,1
05_07_02_02_02,03-01-07-02-02-02-05.wav,5,male,7,disgust,neutral,2,2,2
05_08_01_01_01,03-01-08-01-01-01-05.wav,5,male,8,surprised,neutral,1,1,1
05_08_01_01_02,03-01-08-01-01-02-05.wav,5,male,8,surprised,neutral,1,1,2
05_08_01_02_01,03-01-08-01-02-01-05.wav,5,male,8,surprised,neutral,1,2,1
05_08_01_02_02,03-01-08-01-02-02-05.wav,5,male,8,surprised,neutral,1,2,2
05_08_02_01_01,03-01-08-02-01-01-05.wav,5,male,8,surprised,neutral,2,1,1
05_08_02_01_02,03-01-08-02-01-02-05.wav,5,male,8,surprised,neutral,2,1,2
05_08_02_02_01,03-01-08-02-02-01-05.wav,5,male,8,surprised,neutral,2,2,1
05_08_02_02_02,03-01-08-02-02-02-05.wav,5,male,8,surprised,neutral,2,2,2
06_01_01_01_01,03-01-01-01-01-01-06.wav,6,female,1,neutral,neutral,1,1,1
